alternateNames,district,Code
"Koh-e-Safi, Koh Safi.",Koh-e-Safi,0308
Salang.,Salang,0306
"Sayyid Khel, Saydkhel. There is also a Sayyad district in Sar-e-Pul, a Sayyid Karam in Paktia, and a Sayyid Abad district in Wardak.",Sayyid Khel,0304
"Shaykh Ali, Sheikh Ali, Shekhali, Shaykh 'Ali.",Shaykh Ali,0310
Shinwari.  (There is also a Shinwar district in Nangarhar.),Shinwari,0303
"Sia Gird, Siagird, Ghorband.",Sia Gird,0307
"Surkh Parsa, Surkhi Parsa, Surkh-e-Parsa, Surkhe Parsa, Surkh-o Parsa, Lolinge, Lowlenge.",Surkhi Parsa,0309
"Aybak, Aibak.",Aybak,2001
"Dara-e-Soof-e-Bala, Darah-ye-Suf-e Bala, Darah-e-Souf-e Bala, Dara-i-Sauf Bala.",Dara-e-Soof-e-Bala,2007
"Dara-e-Soof-i-Payin, Darah-ye-Suf-e Pa'in, Dara-e-Sof-e-Payin, Dara-e-Souf-e-Payan, Dara-i-Sauf Paeen.",Dara-e-Soof-i-Payin,2006
"Feroz Nakhcheer, Feroznakhchir, Feroz Nakhchir.",Feroz Nakhcheer,2004
"Hazrat-e-Sultan, Hazrat Sultan.",Hazrat-e-Sultan,2002
"Khuram Wa Sarbagh,Khuram wa Sar Bagh, Khuram Sarbagh.",Khuram Wa Sarbagh,2003
"Rui-Do-Ab, Ruy-e-Duab, Ruy Do Ab, Rui Doab, Doab.",Rui-Do-Ab,2005
Balkhab.,Balkhab,2207
Gosfandi.,Gosfandi,2206
"Kohistanat.  (There are Kohistan districts in both Badakhshan and Faryab. There is a Hissa-e-Awali Kohistan, and a Hissa-e Duome Kohistan, both in Kapisa.)",Kohistanat,2203
"Sancharak, Sangcharak.",Sancharak,2205
"Sar-e-Pul, Saripul, Saripol, Sar-i-Pol.",Sar-e-Pul,2201
"Sayyad, Sayad.  (There is also a Sayyid Khel district in Parwan, a Sayyid Karam in Paktika, and a Sayyid Abad district in Wardak.)",Sayyad,2202
"Sozma Qala, Sozmaqala, Sozmah Qal'ah.",Sozma Qala,2204
Baharak.  (There is also a Baharak in Badakhshan.),Baharak,1803
"Bangi, Bangi Qala.",Bangi,1804
"Chahab, Chah Ab, Cha-e-Ab, Chahi Ab.",Chahab,1816
Chal.,Chal,1805
Darqad.,Darqad,1815
"Dashti Qala, Dasht-i-Qala, Dasht-e-Qala,, Dasht-e Qal'ah.",Dashti Qala,1812
"Eshkamesh, Ishkamish.  (There is also an Eshkashim district in Badakhshan.)",Eshkamesh,1811
Farkhar.,Farkhar,1808
"Hazar Sumuch, Hazarsumuch, Hazar Sumoch.",Hazar Sumuch,1802
Kalafgan.,Kalafgan,1807
"Khwaja Bahawuddin, Khwajabahauddin, Khwaja Bahauddin.",Khwaja Bahawuddin,1814
"Khwaja Ghar, Khwajaghar, Khoja Ghor.",Khwaja Ghar,1809
"Namak Ab, Namakab.",Namak Ab,1806
"Rustaq, Rostak.",Rustaq,1810
"Taluqan, Taloqan.",Taluqan,1801
Warsaj.,Warsaj,1813
"Yangi Qala, Yangi Qal'ah.",Yangi Qala,1817
"Chinarto, Chenarto, Chinar Tu.  (Chinarto is part of Chora in the 399 district set)",Chinarto,2507
"Chora, Chorah.  (Chinarto is part of Chora in the 399 district set)",Chora,2503
"Dehraoud, Dehrawud, Deh Rawud, Deh Rawod, Deh Rawood.",Dehraoud,2502
"Gizab, Gezab.  (Patoo is part of Gizab district, and it is part of Daikundi in the 399 and 407 sets.  Gizab (minus Patoo) is part of Urugzan province in the 419 and 421 sets.)",Gizab,2506
"Khas Urozgan, Khasuruzgan, Khas Oruzgan.",Khas Urozgan,2505
"Shahidi Hassas, Shaidi Assas, Charchino, Char China.  (Sia Sang is included in Shahidi Hassas in all district sets, but some consider it to be a district.)",Shahidi Hassas,2504
"Tirinkot, Tirin Kot, Tarinkot, Tarin Kot.",Tirinkot,2501
"Chak-e-Wardak, Chak-i-Wardad, Chak.",Chak-e-Wardak,0404
"Daimirdad, Daymirdad, Day Mirdad.",Daimirdad,0406
"Hissa-e-Awal-e-Behsud, Hesa-e Awal-e Behsud, Hisa-i-Awal-i Bihsud.  (There is also a Markazi Behsud district in Wardak, and a Behsud district in Nangarhar.)",Hissa-e-Awal-e-Behsud,0407
"Jaghatu, Jaghato.  (There is also a Jaghatu district in Ghazni.)",Jaghatu,0408
"Jalrez, Jalrayz.",Jalrez,0403
"Maidan Shahr, Maydan Shahr, Maydanshahr.",Maidan Shahr,0401
"Markaz-e-Behsud, Markaz-i-Bihsud.  (There is also a Hisa-e-Awal-e-Behsud district in Wardak, and a Behsud district in Nangarhar.) ",Markaz-e-Behsud,0409
Nerkh,Nerkh,0402
"Sayyid Abad, Saydabad, Sayyidabad, Sayedabad.  (There is also a Sayyad district in Sar-e-Pul, a Sayyid Karam in Paktia, and a Sayyid Khel in Parwan.)",Sayyid Abad,0405
Arghandab.  (There is also an Arghandab in Kandahar.),Arghandab,2605
Atghar.,Atghar,2608
"Daichopan, Daychopan, Day Chopan.",Daichopan,2607
"Kakar, Khak-e-Afghan.",Kakar,2611
Mizan.,Mizan,2604
"Naw Bahar, Nawbahar.",Naw Bahar,2609
Qalat.,Qalat,2601
"Shah Joi, Shahjoy, Shajoy, Shahjoi.",Shah Joi,2606
"Shemel Zayi, Shamalzai, Shomulzay, Shamulzai.",Shemel Zayi,2610
"Shinkai, Shinkay.  (There is also a Shinkai area in Kapisa.  The Surri (or Seuri, Sewray) area is included in Shinkai in all of these district sets.)",Shinkai,2603
"Tarnak wa Jaldak, Jeldak, Jaldak, Shahr-e-Safa, Shar-e-Safa.",Tarnak wa Jaldak,2602
