id,name,provId,geoId,provName,alternateNames,district,Code
2412,Ziruk,24,,Paktika,"Ziruk, Zeruk, Zerok, Zirok.",Ziruk,1212
2413,,24,,Paktika,"Arghanj Khwah, Arghanjkhwa.",Arghanj Khwah,1703
2414,Sar Hawza,24,,Paktika,"Sar Rawza, Sar Hawza, Sarrawzah, Sarhawzah, Sar Hawzeh.",Sar Rawza,1205
2415,Mata Khan,24,,Paktika,Wakhan.,Wakhan,1728
2416,Jani Khel,24,,Paktika,"Jani Khel, Janikhel.  (There is also a Jani Khel in Paktika.)",Jani Khel,1309
2417,Turwo,24,,Paktika,"Turwo, Tarwe, Terwa, Turwa.",Turwo,1219
2418,Yahya Khel,24,,Paktika,"Yahya Khel, Yahyakhel, Yahya Khail.",Yahya Khel,1204
2419,Yosuf Khel,24,,Paktika,"Yosuf Khel, Yosufkhel.",Yosuf Khel,1203
2501,Khost(Matun),25,,Khost,"Khost, Matun.",Khost,1401
2502,Jaji Maidan,25,,Khost,"Jaji Maidan, Jajimaydan, Jaji, Zazi Maidan, Zazi, Zazai.",Jaji Maidan,1413
2503,Tani,25,,Khost,,,
2504,Spira,25,,Khost,,,
2505,Mosa Khail,25,,Khost,,,
2506,Mando Zayi,25,,Khost,"Manduzay, Esmayel Khil, Mandozayi, Manduzai, Ismail Khel, Mando Zayi.",Manduzay,1402
2507,Tere Zayi,25,,Khost,,,
2508,Nadir Shah Kot,25,,Khost,"Nadir Shah Kot, Nadirshahkot.",Nadir Shah Kot,1406
2509,Sabri,25,,Khost,"Sabari, Sabaro, Yaqubi.",Sabari,1407
2510,Bak,25,,Khost,"Zebak, Zibak.",Zebak,1725
2511,Gurbuz,25,,Khost,Gurbuz.,Gurbuz,1403
2512,Qalandar,25,,Khost,"Andarab, Bano Andarab.",Andarab,907
2513,Shamal,25,,Khost,,,
2601,Mazari Sharif,26,,Balkh,"Mazar-e-Sharif, Mazar-i-Sharif, Mazar.",Mazar-e-Sharif,2101
2602,Nahri Shahi,26,,Balkh,"Nahri Shahi, Nahr-e Shahi.",Nahri Shahi,2102
2603,Zari,26,,Balkh,"Zari, Zaray.",Zari,2115
2604,Shortepa,26,,Balkh,"Shortepa, Shortepah, Shortipa.",Shortepa,2112
2605,Dawlatabad,26,,Balkh,"Dawlat Abad, Dawlatabad, Dolatabad.  (There is also a Dawlatabad in Faryab, and a Dawlatshah in Laghman, and a Dawlatyar in Ghor.)",Dawlat Abad,2109
2606,Balkh,26,,Balkh,Balkh.,Balkh,2106
2607,Chahar Bolak,26,,Balkh,"Char Bolak, Chahar Bulak, Charbulak.",Char Bolak,2111
2608,Chimtal,26,,Balkh,"Chimtal, Chemtal, Tchimtal.",Chimtal,2108
2609,Sholgara,26,,Balkh,"Sholgara, Sholgarah, Shulgara, Shulgar.",Sholgara,2107
2610,Kishindih,26,,Balkh,"Kishim, Keshem, Keshm.",Kishim,1715
2611,Chahar Kint,26,,Balkh,"Char Kent, Charkent, Charkint, Chahar Kent, Char Kant.",Char Kent,2104
2612,Dihdadi,26,,Balkh,"Dehdadi, Dihdadi.",Dehdadi,2103
2613,Kaldar,26,,Balkh,Kaldar.  (The 421 district set shows Sharak-e-Hairatan as part of Kaldar.),Kaldar,2113
2614,Khulm,26,,Balkh,"Khulm, Khulam, Tashqurghan, Tash Qurghan.",Khulm,2110
2615,Marmul,26,,Balkh,Marmul.,Marmul,2105
2701,Shibirghan,27,,Juzjan,,,
2702,Khwaja Du Koh,27,,Juzjan,"Khwajadukoh, Khwaja Dukoh, Khwajah Do Koh, Kohja Dukoh.",Khwaja Dukoh,2802
2703,Darzab,27,,Juzjan,Darzab.,Darzab,2811
2704,Mangajek,27,,Juzjan,,,
2705,Qarqin,27,,Juzjan,"Qarqin, Qarqeen.",Qarqin,2810
2706,Aqcha,27,,Juzjan,"Aqchah, Aqcha.",Aqchah,2807
2707,Mardyan,27,,Juzjan,"Mardyan, Mardian, Murdian.",Mardyan,2809
2708,Fayzabad,27,,Juzjan,"Faiz Abad, Fayzabad.  (There is also a Faizabad district in Jowzjan.)",Faiz Abad,1701
2709,Kham Ab,27,,Juzjan,"Khamyab, Khamab, Kham Aab, Khamaab.",Khamyab,2806
2710,Khaniqa,27,,Juzjan,"Khanaqa, Khaniqa.",Khanaqa,2803
2711,Qush Tepa,27,,Juzjan,"Qush Tepa, Qushtepa, Qushtipa.",Qush Tepa,2805
2801,Maymana,28,,Faryab,"Maimana, Maymana, Maimanah.",Maimana,2901
2802,Pashtun Kot,28,,Faryab,"Pashtun Kot, Pashtunkot.",Pashtun Kot,2902
2803,Almar,28,,Faryab,Almar.,Almar,2904
2804,Qaysar,28,,Faryab,,,
2805,Kohistan,28,,Faryab,"Kohistan, Kohestiani.  (There is also a Kohistan in Faryab, a Hissa-e-Awali Kohistan in Kapisa, a Hissa-e Duome Kohistan in Kapisa, and a Kohistanat in Saripul.)",Kohistan,1708
2806,Bilchiragh,28,,Faryab,"Bilchiragh, Bilcheragh, Bal Chiragh, Belcheragh.",Bilchiragh,2905
2807,Gurziwan,28,,Faryab,"Gurziwan, Garziwan, Gorzivan.",Gurziwan,2908
2808,Shirin Tagab,28,,Faryab,"Shirin Tagab, Shirintagab, Sherin Tagab, Sherin Tagau.  (There is also a Tagab in Kapisa and in Badakhshan.)",Shirin Tagab,2906
2809,Dawlatabad,28,,Faryab,"Dawlat Abad, Dawlatabad, Dolatabad.  (There is also a Dawlatabad in Faryab, and a Dawlatshah in Laghman, and a Dawlatyar in Ghor.)",Dawlat Abad,2109
2810,Qaramqol,28,,Faryab,"Qaram Qul, Qaramqol.",Qaram Qul,2911
2811,Khani Chahar Bagh,28,,Faryab,"Khani Charbagh, Khan-e-Char Bagh. Khan-e Chahr Bagh, Khan Chahr Bagh.",Khani Charbagh,2914
2812,Andkhoy,28,,Faryab,"Andkhoy, Andkhoi.",Andkhoy,2913
2814,Qurghan,28,,Faryab,"Murghab, Bala Murghab, Balamerghab.",Murghab,3105
2901,Lashkar Gah,29,,Helmand,"Lashkargah, Lashkar Gah.",Lashkargah,3001
2902,Nahri Sarraj,29,,Helmand,"Nahr-i-Saraj, Gerishk, Greshk.",Nahr-i-Saraj,3004
2903,Kajaki,29,,Helmand,Kajaki.,Kajaki,3010
2904,Musa Qala,29,,Helmand,"Musa Qala, Musaqalah.",Musa Qala,3009
2905,,29,,Helmand,"Arghanj Khwah, Arghanjkhwa.",Arghanj Khwah,1703
2906,Naw Zad,29,,Helmand,"Nawzad, Now Zad.",Nawzad,3007
2907,Washer,29,,Helmand,"Washer, Washir.",Washer,3005
2908,Nad Ali,29,,Helmand,"Nad Ali, Nad-e-Ali, Nad 'Ali, Nadali. (Marja is part of Nad Ali in the 399 district set.)",Nad Ali,3002
2909,Nawa-I- Barak Zayi,29,,Helmand,"Nawa-i-Barikzayi, Nawa-e-Barakzaiy, Nawah-ye-Barakzai, Nawa, Shamalan.  (There is also a Nawa district in Ghazni.)",Nawa-i-Barikzayi,3003
2910,,29,,Helmand,"Arghanj Khwah, Arghanjkhwa.",Arghanj Khwah,1703
2911,Garmser,29,,Helmand,"Garm Ser, Darwishan, Garmser.",Garm Ser,3006
2912,Sangin,29,,Helmand,Sangin.,Sangin,3008
2913,Reg(Khanshin),29,,Helmand,"Reg, Registan.  (There is also a Reg-e Khan Neshin, in Kandahar, and a Ragistan in Badakhshan.)",Reg,2716
3001,Kandahar,30,,Kandahar,"Andarab, Bano Andarab.",Andarab,907
3002,Daman,30,,Kandahar,Daman.,Daman,2703
3003,Shah Wali Kot,30,,Kandahar,"Shah Wali Kot, Shahwalikot, Shah Walikot..",Shah Wali Kot,2706
3004,Arghandab,30,,Kandahar,"Andarab, Bano Andarab.",Andarab,907
3005,Khakrez,30,,Kandahar,"Khakrez, Khakriz.",Khakrez,2707
3006,,30,,Kandahar,"Arghanj Khwah, Arghanjkhwa.",Arghanj Khwah,1703
3007,Maywand,30,,Kandahar,"Maiwand, Maywand.",Maiwand,2710
3008,Panjwayi,30,,Kandahar,"Panjwayee, Panjwayi, Panjwa'i, Panjwai.",Panjwayee,2704
3009,Registan,30,,Kandahar,,,
3010,,30,,Kandahar,"Arghanj Khwah, Arghanjkhwa.",Arghanj Khwah,1703
3011,Spin Boldak,30,,Kandahar,"Spin Boldak, Spinboldak.  (Takhta Pul is part of Spin Boldak in the 399 an 407 sets.)",Spin Boldak,2711
3012,Arghistan,30,,Kandahar,"Kohistan, Kohestiani.  (There is also a Kohistan in Faryab, a Hissa-e-Awali Kohistan in Kapisa, a Hissa-e Duome Kohistan in Kapisa, and a Kohistanat in Saripul.)",Kohistan,1708
3013,Maruf,30,,Kandahar,"Maruf, Ma'ruf, Maroof.",Maruf,2715
3014,,30,,Kandahar,"Arghanj Khwah, Arghanjkhwa.",Arghanj Khwah,1703
3015,Nesh,30,,Kandahar,"Nesh, Nish.",Nesh,2712
3016,Zhari,30,,Kandahar,,,
3101,Qala-I- Naw,31,,Badghis,"Qala-i-Now, Qala-e-Naw, Qal'ah-ye Now.",Qala-i-Now,3101
3102,Ab Kamari,31,,Badghis,"Ab Kamari, Ab-e Kamari, Abkamari.",Ab Kamari,3102
3103,Qadis,31,,Badghis,Qadis.  (Some consider Dara-e Bom to be a district.  It is included in Qadis here.),Qadis,3104
3104,Jawand,31,,Badghis,Yawan.,Yawan,1709
3105,Ghormach,31,,Badghis,"Ghormach, Ghormuch.  (All of the district sets presented here list Ghormach in Badghis.  The IDLG, along with many news sources, report it as part of Faryab.)",Ghormach,3107
3106,Bala Murghab,31,,Badghis,"Murghab, Bala Murghab, Balamerghab.",Murghab,3105
3107,Muqur,31,,Badghis,"Muqur, Moqur, Moqor.  (There is also a Moqur district in Ghazni.)",Muqur,3103
3201,Hirat,32,,Herat,,,
3202,Injil,32,,Herat,"Enjil, Injil.",Enjil,3202
3203,Guzara,32,,Herat,,,
3204,Pashtun Zarghun,32,,Herat,"Pashtun Zarghun, Pashtoon Zarghoon, Pashtunzarghun.",Pashtun Zarghun,3206
3205,Karukh,32,,Herat,"Karrukh, Karukh.",Karrukh,3204
3206,Koshk,32,,Herat,,,
3207,Gulran,32,,Herat,"Gulran, Golran.",Gulran,3208
3208,Kohsan,32,,Herat,"Kohsan, Kehsan, Kashan.",Kohsan,3213
3209,Ghoryan,32,,Herat,"Ghoryan, Ghorian.",Ghoryan,3211
3210,Zanda  Jan,32,,Herat,,,
3211,Adraskan,32,,Herat,Adraskan.,Adraskan,3209
3212,Obe,32,,Herat,"Obe, Oba, Obeh.",Obe,3212
3213,Farsi,32,,Herat,Farsi.,Farsi,3215
3214,Shindand,32,,Herat,"Shindand, Sabzwar. Shindand, Esfezar (Shindand's five buluk subdivisions were split into five districts in the 419 and 421 set.  One of them still named Shindand.)",Shindand,3214
3215,Chishti Sharif,32,,Herat,"Chishti Sharif, Chisht-e-Sharif, Khwaja Chist.",Chishti Sharif,3216
3216,Koshki Kohna,32,,Herat,,,
3301,Farah,33,,Farah,Farah.,Farah,3301
3302,Bakwa,33,,Farah,Bakwa.,Bakwa,3308
3303,Gulistan,33,,Farah,"Gulistan, Gulestan.",Gulistan,3310
3304,Pur Chaman,33,,Farah,"Pur Chaman, Purchaman, Parchaman.",Pur Chaman,3311
3305,Bala Buluk,33,,Farah,"Bala Buluk, Bala Boluk, Balabuluk.",Bala Buluk,3306
3306,Khaki Safed,33,,Farah,"Khak-i-Safed, Khak-e-Safed, Khak-i-Safid.",Khak-i-Safed,3303
3307,Anar Dara,33,,Farah,"Andarab, Bano Andarab.",Andarab,907
3308,Qala Ka,33,,Farah,Kalakan.,Kalakan,110
3309,Lash Wa Juwayn,33,,Farah,"Lash-i-Juwayn, Lash-e-Juwayn, Lash wa Juwayn.",Lash-i-Juwayn,3309
3310,Shib Koh,33,,Farah,"Shibkoh, Shib Koh, Shayb Koh.",Shibkoh,3305
3311,Pusht Rod,33,,Farah,"Pushtrud, Pushtrod, Pusht-e Rod, Pusht Road, Poshtrud.",Pushtrud,3302
3401,Zaranj,34,,Nimroz,Zaranj.,Zaranj,3401
3402,Kang,34,,Nimroz,"Kang, Qafak.",Kang,3402
3403,Chahar Burjak,34,,Nimroz,"Char Burjak, Chahar Burjak, Charburjak.",Char Burjak,3404
3404,Chakhansur,34,,Nimroz,Chakhansur,Asl-i-Chakhansur,3403
3405,Khash Rod,34,,Nimroz,Khash.,Khash,1705
3406,Dilaram,34,,Nimroz,"Dilaram, Delaram.  (Dilaram is part of Kashrod in the 399 district set.)",Dilaram,3406
